Polymer Name,SMILES,Chiral? ,# C atoms on SC,# O atoms on SC,# C-C (or C-O )bond on SC,# SC braching pts,# atoms (C and O) between braching and BB ,# atoms (C and O) after branching,# total branches,# SC  units,# of C atoms on BB,# of heteroatoms atoms on BB,# of C-C rotatable on BB,# of C=C bond on BB,# of rings,# of conjugated units on BB,Ratom_C,Ratom_all,Rbond_1,Rbond_2,Rring_1,Rring_2,Rring_3,Rring_4,Rring_5,Rring_6,# of atoms,# of branching pts,# atom before branching,# atom after braching ,Mn,Mw,PDI,Energetic Asymmetry,Structural Asymmetry
PM7,CCCCC(CC)CC(S1)=C(Cl)C=C1C2=C3C(C=C(C4=CC=C(C5=C(C(C6=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C6C7=O)=O)C7=C(C8=CC=CS8)S5)S4)S3)=C(C9=CC(Cl)=C(CC(CCCC)CC)S9)C%10=C2C=CS%10,0,32,0,28,4,4,24,8,4,36,12,4,17,10,4,0.888888889,0.666666667,1.647058824,7,0.4,0.8,2.8,1,2,7,32,4,4,24,38500,84200,2.187012987,0.00131,135
PM7 D1,CCCCC(CC)CC(S1)=C(Cl)C=C1C2=C3C(C=C(C4=CC(C(OCCCCCCCCCC)=O)=C(C5=CC=C(C6=C(C(OCCCCCCCCCC)=O)C=CS6)S5)S4)S3)=C(C7=CC(Cl)=C(CC(CCCC)CC)S7)C8=C2C=CS8,0,38,4,38,2,2,38,6,4,30,9,4,15,8,4,1.266666667,1.076923077,2.533333333,9.5,0.5,0.75,4.75,1,1.5,9.5,42,2,2,38,41000,98400,2.4,0.00205,30
PM7 D2,CCCCC(CC)CC(S1)=C(Cl)C=C1C2=C3C(C=C(C4=CC=C(C5=C(C(OCCCCCCCCCC)=O)C(C(OCCCCCCCCCC)=O)=C(C6=CC=CS6)S5)S4)S3)=C(C7=CC(Cl)=C(CC(CCCC)CC)S7)C8=C2C=CS8,0,38,4,38,2,2,38,6,4,30,9,4,15,8,4,1.266666667,1.076923077,2.533333333,9.5,0.5,0.75,4.75,1,1.5,9.5,42,2,2,38,39000,80300,2.058974359,0.0002,30
PM7 3ET2,CCCCC(CC)CC(S1)=C(Cl)C=C1C2=C3C(C=C(C4=CC=C(C(S5)=CC6=C5C(C7=CC(Cl)=C(CC(CCCC)CC)S7)=C(C=C(C8=CC=C(C9=CC=CS9)S8)S%10)C%10=C6C%11=CC(Cl)=C(CC(CC)CCCC)S%11)S4)S3)=C(C%12=CC(Cl)=C(CC(CCCC)CC)S%12)C%13=C2C=CS%13.O=C(C)OCCCCCCCCCC,0,23.5,1.5,22.25,2,2,21,4.75,2.75,23,7.5,2.25,11.5,6.25,2.25,1.02173913,0.819672131,1.934782609,9.888888889,0.44,0.76,3.56,1.222222222,2.111111111,9.888888889,25,2,2,21,57500,350750,6.1,0.00032,30
PM7 2ET2,CCCCC(CC)CC(S1)=C(Cl)C=C1C2=C3C(C=C(C4=CC=C(C(S5)=CC6=C5C(C7=CC(Cl)=C(CC(CCCC)CC)S7)=C(C=C(C8=CC=C(C9=CC=CS9)S8)S%10)C%10=C6C%11=CC(Cl)=C(CC(CC)CCCC)S%11)S4)S3)=C(C%12=CC(Cl)=C(CC(CCCC)CC)S%12)C%13=C2C=CS%13.O=C(C)OCCCCCCCCCC,0,22.66666667,1.333333333,21.33333333,2,2,20,4.666666667,2.666666667,23.33333333,7.666666667,2.333333333,11.66666667,6.33,2.333333333,0.971428571,0.774193548,1.828571429,9.142857143,0.421274355,0.737230121,3.370194839,1.142857143,2,9.142857143,24,2,2,20,51600,247680,4.8,0.00032,30
PBTTT,CCCCCCCCCCCCCCC1=C(C2=CC(SC(C3=C(CCCCCCCCCCCCCC)C=CS3)=C4)=C4S2)SC=C1,0,28,0,26,0,0,28,2,2,14,4,3,7,4,3,2,1.555555556,3.714285714,8.666666667,0.5,0.5,6.5,0.666666667,0.666666667,8.666666667,28,0,N/A,N/A,15657,27458,1.75,0.00505,45
TPT-E,CCCCCCCCCCC1=C(SC(C2=C(OCCCCCCCC)C=C(C3=CC(CCCCCCCCCC)=CS3)C(OCCCCCCCC)=C2)=C1)C4=C5C(OCCO5)=CS4,0,36,2,34,0,0,38,4,4,20,5,4,9,5,4,1.8,1.52,3.777777778,8.5,0.8,0.8,6.8,1,1,8.5,38,0,N/A,N/A,27600,44500,1.612318841,0.00915,60
TPT-2E,CCCCCCCCCCC1=C(SC(C2=C(OCCCCCCCC)C=C(C3=CC(CCCCCCCCCC)=CS3)C(OCCCCCCCC)=C2)=C1)C4=C5C(OCCO5)=C(C6=C(OCCO7)C7=CS6)S4,0,36,2,34,0,0,38,4,4,26,8,5,11,7,5,1.384615385,1.117647059,3.090909091,6.8,0.571428571,0.571428571,4.857142857,0.8,0.8,6.8,38,0,N/A,N/A,16500,31900,1.933333333,0.00915,60
N2200 - 130.0 k,O=C(N(CC(CCCCCCCC)CCCCCCCCCC)C1=O)C2=C(C1=C(C3=CC=C(C4=CC=CS4)S3)C=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)=O)C5=C6C=C2,1,40,0,38,2,2,36,4,2,22,8,3,13,6,3,1.818181818,1.333333333,2.923076923,12.66666667,0.333333333,0.666666667,6.333333333,0.666666667,1.333333333,12.66666667,40,2,2,36,130000,195000,1.5,0.0079,105
N2200 - 50.0 k,O=C(N(CC(CCCCCCCC)CCCCCCCCCC)C1=O)C2=C(C1=C(C3=CC=C(C4=CC=CS4)S3)C=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)=O)C5=C6C=C2,1,40,0,38,2,2,36,4,2,22,8,3,13,6,3,1.818181818,1.333333333,2.923076923,12.66666667,0.333333333,0.666666667,6.333333333,0.666666667,1.333333333,12.66666667,40,2,2,36,50000,125000,2.5,0.0079,105
N2200 - 22.0 k,O=C(N(CC(CCCCCCCC)CCCCCCCCCC)C1=O)C2=C(C1=C(C3=CC=C(C4=CC=CS4)S3)C=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)=O)C5=C6C=C2,1,40,0,38,2,2,36,4,2,22,8,3,13,6,3,1.818181818,1.333333333,2.923076923,12.66666667,0.333333333,0.666666667,6.333333333,0.666666667,1.333333333,12.66666667,40,2,2,36,22000,55000,2.5,0.0079,105
N2200 - 9.1 k,O=C(N(CC(CCCCCCCC)CCCCCCCCCC)C1=O)C2=C(C1=C(C3=CC=C(C4=CC=CS4)S3)C=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)=O)C5=C6C=C2,1,40,0,38,2,2,36,4,2,22,8,3,13,6,3,1.818181818,1.333333333,2.923076923,12.66666667,0.333333333,0.666666667,6.333333333,0.666666667,1.333333333,12.66666667,40,2,2,36,9100,19000,2.087912088,0.0079,105
N2200 - 5.7 k,O=C(N(CC(CCCCCCCC)CCCCCCCCCC)C1=O)C2=C(C1=C(C3=CC=C(C4=CC=CS4)S3)C=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)=O)C5=C6C=C2,0,40,0,38,2,2,36,4,2,22,8,3,13,6,3,1.818181818,1.333333333,2.923076923,12.66666667,0.333333333,0.666666667,6.333333333,0.666666667,1.333333333,12.66666667,40,2,2,36,5700,11400,2,0.0079,105
N2200 - 3.6 k,O=C(N(CC(CCCCCCCC)CCCCCCCCCC)C1=O)C2=C(C1=C(C3=CC=C(C4=CC=CS4)S3)C=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)=O)C5=C6C=C2,0,40,0,38,2,2,36,4,2,22,8,3,13,6,3,1.818181818,1.333333333,2.923076923,12.66666667,0.333333333,0.666666667,6.333333333,0.666666667,1.333333333,12.66666667,40,2,2,36,3600,5400,1.5,0.0079,105
